證券代碼,簡稱,年月日,市值(百萬元)
6184,大豐電       ,20131231,4586
1521,大億         ,20131231,4581
1217,愛之味       ,20131231,4578
3518,柏騰         ,20131231,4576
3573,穎台         ,20131231,4525
2405,浩鑫         ,20131231,4524
5607,遠雄港       ,20131231,4521
5519,隆大         ,20131231,4500
1531,高林股       ,20131231,4490
5538,F-東明       ,20131231,4485
1583,程泰         ,20131231,4484
2477,美隆電       ,20131231,4477
2007,燁興         ,20131231,4471
4999,鑫禾         ,20131231,4442
2459,敦吉         ,20131231,4432
1460,宏遠         ,20131231,4391
3686,達能         ,20131231,4382
3679,新至陞       ,20131231,4350
3257,虹冠電       ,20131231,4323
2397,友通         ,20131231,4317
1609,大亞         ,20131231,4299
8404,F-百和       ,20131231,4298
1533,車王電       ,20131231,4290
1233,天仁         ,20131231,4253
2425,承啟         ,20131231,4252
2329,華泰         ,20131231,4223
2506,太設         ,20131231,4223
2387,精元         ,20131231,4201
3598,奕力         ,20131231,4192
2456,奇力新       ,20131231,4140
3591,艾笛森       ,20131231,4132
8210,勤誠         ,20131231,4132
2705,六福         ,20131231,4111
8105,凌巨         ,20131231,4105
2316,楠梓電       ,20131231,4100
2009,第一銅       ,20131231,4099
3028,增你強       ,20131231,4090
1446,宏和         ,20131231,4082
4930,燦星網       ,20131231,4082
1309,台達         ,20131231,4079
1437,勤益         ,20131231,4069
2480,敦陽科       ,20131231,4068
2368,金像電       ,20131231,4067
1786,科妍         ,20131231,4054
9802,F-鈺齊       ,20131231,4045
3305,昇貿         ,20131231,4029
4119,旭富         ,20131231,3994
1762,中化生       ,20131231,3978
2008,高興昌       ,20131231,3953
2486,一詮         ,20131231,3947
1810,和成         ,20131231,3938
3014,聯陽         ,20131231,3937
3013,晟銘電       ,20131231,3889
6152,百一         ,20131231,3879
2348,海悅         ,20131231,3852
2472,立隆電       ,20131231,3827
2478,大毅         ,20131231,3823
8271,宇瞻         ,20131231,3791
3052,夆典         ,20131231,3788
2509,全坤建       ,20131231,3740
9931,欣高         ,20131231,3739
1783,和康生       ,20131231,3721
2020,美亞         ,20131231,3701
3031,佰鴻         ,20131231,3697
1432,大魯閣       ,20131231,3689
2390,云辰         ,20131231,3670
1215,卜蜂         ,20131231,3666
4952,凌通         ,20131231,3661
3229,晟鈦         ,20131231,3609
2722,夏都         ,20131231,3551
2365,昆盈         ,20131231,3547
3130,一零四       ,20131231,3529
5706,鳳凰         ,20131231,3523
3090,日電貿       ,20131231,3474
1323,永裕         ,20131231,3442
1517,利奇         ,20131231,3440
1459,聯發         ,20131231,3424
2419,仲琦         ,20131231,3413
1108,幸福         ,20131231,3395
2537,聯上發       ,20131231,3366
6168,宏齊         ,20131231,3364
8021,尖點         ,20131231,3323
1463,強盛         ,20131231,3306
1417,嘉裕         ,20131231,3293
1809,中釉         ,20131231,3293
1339,昭輝         ,20131231,3292
8011,台通         ,20131231,3292
6251,定穎         ,20131231,3289
2437,旺詮         ,20131231,3287
2012,春雨         ,20131231,3280
2530,華建         ,20131231,3276
2467,志聖         ,20131231,3262
9919,康那香       ,20131231,3252
1612,宏泰         ,20131231,3205
1436,華友聯       ,20131231,3180
4916,事欣科       ,20131231,3177
3584,介面         ,20131231,3166
1530,亞崴         ,20131231,3164
2115,F-六暉       ,20131231,3059
2022,聚亨         ,20131231,3053
1817,凱撒衛       ,20131231,3034
3579,尚志         ,20131231,3022
1472,三洋紡       ,20131231,2966
1464,得力         ,20131231,2960
2461,光群雷       ,20131231,2955
6196,帆宣         ,20131231,2937
3645,達邁         ,20131231,2934
1713,國化         ,20131231,2890
6136,富爾特       ,20131231,2876
9906,欣巴巴       ,20131231,2873
4976,佳凌         ,20131231,2870
1236,宏亞         ,20131231,2865
6128,上福         ,20131231,2864
6108,競國         ,20131231,2862
2616,山隆         ,20131231,2847
3605,宏致         ,20131231,2842
2426,鼎元         ,20131231,2837
4737,華廣         ,20131231,2803
2901,欣欣         ,20131231,2797
8103,瀚荃         ,20131231,2797
3167,大量         ,20131231,2790
1725,元禎         ,20131231,2774
2017,官田鋼       ,20131231,2770
8112,至上         ,20131231,2767
8249,菱光         ,20131231,2731
4755,三福化       ,20131231,2728
4106,雃博         ,20131231,2710
2417,圓剛         ,20131231,2700
2493,揚博         ,20131231,2700
2338,光罩         ,20131231,2679
9958,世紀鋼       ,20131231,2665
3058,立德         ,20131231,2658
2030,彰源         ,20131231,2633
4133,亞諾法       ,20131231,2625
3054,萬國         ,20131231,2586
6112,聚碩         ,20131231,2584
3164,景岳         ,20131231,2570
1457,宜進         ,20131231,2568
3338,泰碩         ,20131231,2559
2906,高林         ,20131231,2552
2712,遠雄來       ,20131231,2546
9105,泰金寶       ,20131231,2543
9944,新麗         ,20131231,2532
6142,友勁         ,20131231,2463
2359,所羅門       ,20131231,2462
3047,訊舟         ,20131231,2450
1467,南緯         ,20131231,2447
2488,漢平         ,20131231,2447
2484,希華         ,20131231,2440
3701,大眾控       ,20131231,2424
4956,光鋐         ,20131231,2404
2342,茂矽         ,20131231,2397
1618,合機         ,20131231,2394
2462,良得電       ,20131231,2387
2414,精技         ,20131231,2377
4722,國精化       ,20131231,2364
2483,百容         ,20131231,2357
3694,海華         ,20131231,2356
3669,圓展         ,20131231,2328
6164,華興         ,20131231,2324
8374,羅昇         ,20131231,2295
9136,巨騰         ,20131231,2294
1506,正道         ,20131231,2286
1515,力山         ,20131231,2277
2399,映泰         ,20131231,2270
3296,勝德         ,20131231,2242
4426,利勤         ,20131231,2238
1414,東和         ,20131231,2211
2380,虹光         ,20131231,2199
3048,益登         ,20131231,2199
2423,固緯         ,20131231,2193
1528,恩德         ,20131231,2190
910322,康師傅       ,20131231,2189
9955,佳龍         ,20131231,2182
2460,建通         ,20131231,2170
1471,首利         ,20131231,2165
3209,全科         ,20131231,2164
4984,F-科納       ,20131231,2145
5269,祥碩         ,20131231,2145
6201,亞弘電       ,20131231,2140
9928,中視         ,20131231,2123
3419,譁裕         ,20131231,2116
1225,福懋油       ,20131231,2115
1410,南染         ,20131231,2083
2611,志信         ,20131231,2078
1514,亞力         ,20131231,2070
1325,恒大         ,20131231,2013
1731,美吾華       ,20131231,1993
2431,聯昌         ,20131231,1963
1466,聚隆         ,20131231,1960
3559,全智科       ,20131231,1958
1724,台硝         ,20131231,1923
2613,中櫃         ,20131231,1895
3094,聯傑         ,20131231,1812
6216,居易         ,20131231,1812
2904,匯僑         ,20131231,1808
3051,力特         ,20131231,1799
3027,盛達         ,20131231,1791
2375,智寶         ,20131231,1784
2516,新建         ,20131231,1775
6205,詮欣         ,20131231,1774
3029,零壹         ,20131231,1771
1220,台榮         ,20131231,1767
3024,憶聲         ,20131231,1766
3588,通嘉         ,20131231,1760
2528,皇普         ,20131231,1714
2546,根基         ,20131231,1712
1468,昶和         ,20131231,1708
1727,中華化       ,20131231,1705
2453,凌群         ,20131231,1695
9902,台火         ,20131231,1686
6155,鈞寶         ,20131231,1683
1540,喬福         ,20131231,1653
2427,三商電       ,20131231,1651
3040,遠見         ,20131231,1638
2038,海光         ,20131231,1629
2702,華園         ,20131231,1626
1512,瑞利         ,20131231,1598
8940,新天地       ,20131231,1592
3004,豐達科       ,20131231,1579
2442,新美齊       ,20131231,1576
1538,正峰新       ,20131231,1574
3016,嘉晶         ,20131231,1544
1524,耿鼎         ,20131231,1522
1445,大宇         ,20131231,1504
2440,太空梭       ,20131231,1495
2032,新鋼         ,20131231,1487
3550,聯穎         ,20131231,1487
1316,上曜         ,20131231,1484
3055,蔚華科       ,20131231,1482
1906,寶隆         ,20131231,1481
9929,秋雨         ,20131231,1467
1423,利華         ,20131231,1466
3536,誠創         ,20131231,1451
1452,宏益         ,20131231,1439
1730,花仙子       ,20131231,1433
1470,大統         ,20131231,1432
6141,柏承         ,20131231,1423
1235,興泰         ,20131231,1421
1439,中和         ,20131231,1416
6215,和椿         ,20131231,1407
6283,淳安         ,20131231,1404
1617,榮星         ,20131231,1400
1465,偉全         ,20131231,1398
2543,皇昌         ,20131231,1396
3050,鈺德         ,20131231,1387
1456,怡華         ,20131231,1385
1469,理隆         ,20131231,1364
3032,偉訓         ,20131231,1342
2025,千興         ,20131231,1333
5259,清惠         ,20131231,1333
5215,F-科嘉       ,20131231,1331
3593,力銘         ,20131231,1330
1539,巨庭         ,20131231,1327
3021,鴻名         ,20131231,1326
3038,全台         ,20131231,1302
